persona_code,counts
0,960
1,622
2,261
3,1246
4,23
5,809
6,338
7,12
8,21
9,249
10,3443
11,79
12,65
13,162
14,13
15,69
16,423
17,1093
18,816
19,48
20,321
21,47
22,48
23,856
24,674
25,31
26,394
27,554
28,39
29,6
30,105
31,240
32,89
33,1482
34,202
35,1581
36,206
37,202
38,50
39,292
40,837
41,30
42,79
43,1607
44,55
45,1269
46,74
47,2920
48,104
49,282
