Wikipedia movie ID,characters
23890098,['Shlykov']
31186339,"['Thresh', 'Peeta', 'Rue', 'Snow', 'Glimmer', 'Seneca Crane', 'Primrose Everdeen', 'Cato', 'Haymitch', 'Flickerman', 'Katniss']"
20663735,"['Menon', 'Jayakrishnan', 'Nandagopal Maarar', 'Induchoodan', 'Raman Nair', 'Moopil Nair', 'Anuradha', 'Manapally', 'Nambiar', 'Aishwarya', 'Saikumar', 'Mooppil Nair', 'Kanaka', 'Indulekha']"
2231378,"['Charley', 'Brainy Baxter', 'Moran', 'Henry', 'Nellie', 'Clued', 'Kid']"
595909,"['Gossip', 'Michael', 'Azaria', 'Chamberlains', 'Lindy']"
5272176,"['Steven', 'Alex', 'Kate', 'Thomas', 'Baldwin']"
1952976,"['Murray', 'Dahlia', 'Cecilia', 'Natasha', 'Rimsky', 'Veeck', 'Kyle']"
24225279,"['Mickey', 'Miss Lombardo', 'Dominic', 'Hannah']"
2462689,"['D.B. Norton', 'Willoughby', 'Henry Connell', 'Jesus Christ', 'Doe', 'Edward Arnold', 'Hanson', 'Mitchell']"
20532852,"['Woody', 'Buzz']"
15401493,"['Bo', 'Simona', 'Nikki', 'Marco', 'Victor', 'Lola', 'Dotty', 'Nina']"
18188932,"['Eman', 'Goran']"
2940516,['Spike Milligan']
1335380,"['Dafna', 'Exodus', 'Akiva', 'Karen', 'Kitty', 'Dov', 'Barak', 'Abu Yesha', 'Taha', 'David', 'Ari']"
1480747,"['Stab', 'Bilal', 'Pee-Wee', 'Miles', 'Sinclair', 'Zilla', 'Kid', 'Shelia', 'Rick', 'Lee', 'Jamal', 'Zora', 'Dean', 'Pee Wee']"
24448645,['Lucy']
15072401,"['Colby', 'Henrietta Lowell', 'Ulrich', 'Fred', 'Phelps', 'Janice Gage', 'Bowen']"
4018288,"['Debbie', 'Chris']"
4596602,"['Enrico', 'Michael', 'Gabriel', 'Valentino', 'Arabella', 'Nelson']"
15224586,"['Thuy Hoa', 'Gunnery Sgt', 'Jim Lance', 'Tai', 'Duc', 'Addie']"
15585766,"['Sister Mary', 'Milo', 'Kate', 'Peter', 'Bluey Donkin']"
1760737,['Lumpy']
29062594,[]
29326153,['Lucius']
9252321,"['Zachariah', 'Marumu', 'Murumu']"
8388648,"['Amrutha', 'Madhav', 'Sreenu']"
10644072,"['Vijay', 'Bhagwaan', 'Govinda', 'Geeta', 'Bijli', 'Shambu', 'Madhu']"
13455076,[]
33269085,"['Namrata', 'Patel', 'Kamla', 'Sunder Kapoor', 'Ritu', 'Roger', 'Donald Trump', 'Prem']"
2254491,"['Anita', 'Sita']"
447194,"['Saul', 'Miriam', 'Saran', 'Ahtur', 'Dagon', 'Samson', 'Delilah']"
24165951,[]
18549958,['Mary']
12978934,"['Sam', 'Jonathan Jackson', 'Vincent', 'Pat', 'Kerry', 'Beth', 'Ben']"
8471210,"['David Harley', 'Timmy', 'Bracken', 'Holden', 'Mary', 'Kendall', 'Dean']"
1925869,"['Sam Benson', 'Calder', 'Mark', 'Harry', 'Matt', 'Kay', 'Dave Colby']"
10799612,"['Mascetti', 'Sassaroli', 'Perozzi', 'Melandri', 'Madonna', 'Righi', 'Necchi', 'Monicelli', 'Titti']"
3150865,"['Daffy', 'Porky']"
20591333,"['Frances', 'Jason']"
28238240,['Mickey']
5414895,"['Emperor Xian', 'Jiang', 'Zhang Yun', 'Hou Yong', 'Sun Shangxiang', 'David Stratton', 'Sun Quan', 'Lu Su', 'Zhou', 'Zhao Yun', 'Zhang Fei', 'Mengmeng', 'Guan Yu', 'Zhuge Liang', 'Woo', 'Liu Bei', 'Cao', 'Xiahou Jun', 'Cai Mao']"
17124781,[]
5425205,"['Azim', 'Tatiana', 'Kirill', 'Christine', 'Stepan', 'Anna', 'Nikolai', 'Helen', 'Semyon']"
28207941,"['Koko', 'Betty Boop']"
14330027,"['Paschalis', 'Milos', 'Zoi']"
4356664,"['Kaajal', 'Kishen', 'Bobby', 'Pooja', 'Sanjana', 'Shekhar', 'Prem']"
19174305,"['Haba', 'Zafar', 'Tahaan', 'Idrees', 'Subhan', 'Zoya']"
33417831,"['Günther Stobanski', 'Christian Ulmen', 'Nadja Uhl', 'Susanne Feldberg', 'Roland Feldberg', 'Til Schweiger', 'Wotan Wilke Möhring', 'Maxim Mehmet', 'Philip Henrion', 'Niklas Michalke', 'Bruce Berger', 'Florian David Fitz', 'Jerome Ades']"
